JLCPCB Part #;MFR Part #;Library;Manufacturer;Stock;Price (1pc);Price (100pcs);Price (1000pcs);Datasheet URL;Power Rating;Type;Voltage Rating;Temperature Coefficient;Tolerance;Value;Footprint;Dielectric
C17470;0805W8F1503T5E;Basic;uni-royal(uniroyal elec);476813;$0.0018;$0.0012;;https://www.lcsc.com/partdetail/18158-0805W8F1503T5E/C17470;125mW;Thick Film Resistors;150V;±100ppm/℃;±1%;150k;805;
C17471;0805W8F1500T5E;Basic;uni-royal(uniroyal elec);992841;$0.0018;$0.0012;;https://www.lcsc.com/partdetail/18159-0805W8F1500T5E/C17471;125mW;Thick Film Resistors;150V;±100ppm/℃;±1%;150Ω;805;
C17475;0805W8F1502T5E;Basic;uni-royal(uniroyal elec);568245;$0.0018;$0.0012;;https://www.lcsc.com/partdetail/18163-0805W8F1502T5E/C17475;125mW;Thick Film Resistors;150V;±100ppm/℃;±1%;15k;805;
C17477;0805W8F0000T5E;Basic;uni-royal(uniroyal elec);4128536;$0.0016;$0.0010;;https://www.lcsc.com/partdetail/18165-0805W8F0000T5E/C17477;125mW;Thick Film Resistors;150V;±800ppm/℃;±1%;0Ω;805;
C17513;0805W8F1001T5E;Basic;uni-royal(uniroyal elec);10405357;$0.0017;$0.0010;;https://www.lcsc.com/partdetail/18201-0805W8F1001T5E/C17513;125mW;Thick Film Resistors;150V;±100ppm/℃;±1%;1k;805;
C17514;0805W8F1004T5E;Basic;uni-royal(uniroyal elec);1735765;$0.0018;$0.0012;;https://www.lcsc.com/partdetail/18202-0805W8F1004T5E/C17514;125mW;Thick Film Resistors;150V;±100ppm/℃;±1%;1M;805;
C17520;0805W8F2201T5E;Basic;uni-royal(uniroyal elec);1509431;$0.0018;$0.0012;;https://www.lcsc.com/partdetail/18208-0805W8F2201T5E/C17520;125mW;Thick Film Resistors;150V;±100ppm/℃;±1%;2.2k;805;
C17521;0805W8F220KT5E;Basic;uni-royal(uniroyal elec);230937;$0.0029;$0.0018;;https://www.lcsc.com/partdetail/18209-0805W8F220KT5E/C17521;125mW;Thick Film Resistors;150V;±400ppm/℃;±1%;2.2Ω;805;
C17526;0805W8F2401T5E;Basic;uni-royal(uniroyal elec);443853;$0.0018;$0.0012;;https://www.lcsc.com/partdetail/18214-0805W8F2401T5E/C17526;125mW;Thick Film Resistors;150V;±100ppm/℃;±1%;2.4k;805;
C17530;0805W8F2701T5E;Basic;uni-royal(uniroyal elec);372344;$0.0018;$0.0012;;https://www.lcsc.com/partdetail/18218-0805W8F2701T5E/C17530;125mW;Thick Film Resistors;150V;±100ppm/℃;±1%;2.7k;805;
C17539;0805W8F2003T5E;Basic;uni-royal(uniroyal elec);188019;$0.0018;$0.0012;;https://www.lcsc.com/partdetail/18227-0805W8F2003T5E/C17539;125mW;Thick Film Resistors;150V;±100ppm/℃;±1%;200k;805;
C17540;0805W8F2000T5E;Basic;uni-royal(uniroyal elec);524116;$0.0018;$0.0012;;https://www.lcsc.com/partdetail/18228-0805W8F2000T5E/C17540;125mW;Thick Film Resistors;150V;±100ppm/℃;±1%;200Ω;805;
C17544;0805W8F200JT5E;Basic;uni-royal(uniroyal elec);765224;$0.0017;$0.0010;;https://www.lcsc.com/partdetail/18232-0805W8F200JT5E/C17544;125mW;Thick Film Resistors;150V;±200ppm/℃;±1%;20Ω;805;
C17556;0805W8F2203T5E;Basic;uni-royal(uniroyal elec);240810;$0.0018;$0.0012;;https://www.lcsc.com/partdetail/18244-0805W8F2203T5E/C17556;125mW;Thick Film Resistors;150V;±100ppm/℃;±1%;220k;805;
C17557;0805W8F2200T5E;Basic;uni-royal(uniroyal elec);752201;$0.0019;$0.0012;;https://www.lcsc.com/partdetail/18245-0805W8F2200T5E/C17557;125mW;Thick Film Resistors;150V;±100ppm/℃;±1%;220Ω;805;
C17560;0805W8F2202T5E;Basic;uni-royal(uniroyal elec);738304;$0.0019;$0.0012;;https://www.lcsc.com/partdetail/18248-0805W8F2202T5E/C17560;125mW;Thick Film Resistors;150V;±100ppm/℃;±1%;22k;805;
C17561;0805W8F220JT5E;Basic;uni-royal(uniroyal elec);1043311;$0.0018;$0.0012;;https://www.lcsc.com/partdetail/18249-0805W8F220JT5E/C17561;125mW;Thick Film Resistors;150V;±100ppm/℃;±1%;22Ω;805;
